time,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
2021-01-29 01:28:00,319.2767,319.3908,319.1593,318.7845,319.7817,317.6036,319.0308,319.4363,319.2291,318.8846
2021-01-29 01:30:00,319.296,319.4836,319.1593,318.8905,319.7187,317.6602,319.0407,319.4962,319.3057,318.8797
2021-01-29 01:32:00,319.3034,319.1222,319.181,318.9138,319.8064,317.7001,319.0725,319.4778,319.2474,318.9231
2021-01-29 01:34:00,319.2396,319.4056,319.2044,318.9702,319.7966,317.78,319.0874,319.5562,319.3189,318.9248
2021-01-29 01:36:00,319.2371,319.4305,319.3396,319.0298,319.9409,317.78,319.1375,319.4162,319.3604,318.8797
2021-01-29 01:38:00,319.2229,319.4337,319.1794,318.9039,319.8081,317.7418,319.1041,319.5144,319.2124,318.9013
2021-01-29 01:40:00,319.1888,319.3559,319.2394,318.8226,319.7004,317.6802,319.0107,319.4363,319.1545,318.8229
2021-01-29 01:42:00,319.1536,319.4106,319.2028,318.8905,319.7536,317.6602,319.0058,319.4329,319.1545,318.8196
2021-01-29 01:44:00,319.1391,319.258,319.1226,318.7847,319.6556,317.6569,318.926,319.3763,319.1328,318.7795
2021-01-29 01:46:00,319.1312,319.3129,319.1593,318.7464,319.5976,317.562,318.9242,319.3513,319.171,318.7795
2021-01-29 01:48:00,319.1392,319.2482,319.1409,318.7331,319.7138,317.597,319.0242,319.353,319.0747,318.741
2021-01-29 01:50:00,319.1441,319.3213,319.1409,318.8193,319.6208,317.5736,318.9425,319.3929,319.1378,318.741
2021-01-29 01:52:00,319.1769,319.3029,319.1209,318.7663,319.7203,317.6802,318.9107,319.3746,319.1379,318.7644
2021-01-29 01:54:00,319.196,319.356,319.1643,318.8441,319.6855,317.6802,318.9692,319.3929,319.1976,318.8396
2021-01-29 01:56:00,319.2195,319.3644,319.201,318.8442,319.7552,317.6785,318.936,319.4928,319.1695,318.8012
2021-01-29 01:58:00,319.256,319.3658,319.2411,318.8425,319.6673,317.7584,319.0042,319.4962,319.2358,318.8396
2021-01-29 02:00:00,319.2817,319.5036,319.2411,318.9171,319.7801,317.7817,319.1207,319.5161,319.2657,318.883
2021-01-29 02:02:00,319.3065,319.4387,319.2411,318.9419,319.7834,317.8217,319.0907,319.5944,319.2757,318.883
2021-01-29 02:04:00,319.5188,319.6082,319.3012,318.9438,319.8481,317.8399,319.2073,319.6377,319.294,318.9214
2021-01-29 02:06:00,319.2847,319.5269,319.4799,319.0944,320.1318,318.0197,319.2739,319.3563,319.1926,319.0584
2021-01-29 02:08:00,319.3062,319.4951,319.2845,319.0446,319.9692,318.0213,319.1125,319.5728,319.3537,319
2021-01-29 02:10:00,319.3281,319.5135,319.3813,319.0679,319.8664,317.9232,319.1389,319.636,319.3172,318.9615
2021-01-29 02:12:00,319.3438,319.5334,319.3412,319.0265,319.8031,317.8583,319.1656,319.6777,319.3339,318.9615
2021-01-29 02:14:00,319.3613,319.5814,319.3797,319.0446,319.8664,317.9598,319.1156,319.6711,319.2757,318.9615
2021-01-29 02:16:00,319.3999,319.5998,319.3997,319.0215,319.9195,317.9598,319.1906,319.6544,319.3438,319.0016
2021-01-29 02:18:00,319.4167,319.5996,319.4198,319.0729,319.9194,317.9964,319.2906,319.7293,319.372,319.0016
